,Building Name,District Name,County,City and Zip Code,Performance Index Percent 2016-17,City,State,Zip Code,Code+4
171,University Academy,University Academy,Summit,"Akron, OH, 44306-1328",42.9,Akron, OH, 44306,1328
172,Winton Preparatory Academy,Winton Preparatory Academy,Hamilton,"Cincinnati, OH, 45232-1501",37.5,Cincinnati, OH, 45232,1501
173,Lincoln Park Academy,Lincoln Park Academy,Cuyahoga,"Cleveland, OH, 44109-1275",50.3,Cleveland, OH, 44109,1275
174,Main Preparatory Academy,Main Preparatory Academy,Summit,"Akron, OH, 44301-1517",55.1,Akron, OH, 44301,1517
175,Insight School of Ohio,Insight School of Ohio,Franklin,"Columbus, OH, 43219-2284",47.3,Columbus, OH, 43219,2284
176,Berwyn East Academy,North Central Ohio ESC,Seneca,"Columbus, OH, 43227-3374",42.6,Columbus, OH, 43227,3374
177,Hope Learning Academy of Toledo,North Central Ohio ESC,Seneca,"Toledo, OH, 43606-1938",41.7,Toledo, OH, 43606,1938
178,Lawrence County Academy,Lawrence County ESC,Lawrence,"Chesapeake, OH, 45619-7962",33.3,Chesapeake, OH, 45619,7962
179,Imagine Leadership Academy,North Central Ohio ESC,Seneca,"Akron, OH, 44320-3826",59.1,Akron, OH, 44320,3826
180,Imagine Columbus Primary School,North Central Ohio ESC,Seneca,"Columbus, OH, 43229-6612",60.3,Columbus, OH, 43229,6612
181,East Preparatory Academy,East Preparatory Academy,Cuyahoga,"Cleveland, OH, 44103-1129",52,Cleveland, OH, 44103,1129
183,Dayton SMART Elementary School,Dayton SMART Elementary School,Montgomery,"Dayton, OH, 45410-1168",53.1,Dayton, OH, 45410,1168
184,East Academy,East Academy,Cuyahoga,"Cleveland, OH, 44110-3105",44.5,Cleveland, OH, 44110,3105
185,Discovery Academy,Discovery Academy,Lucas,"Toledo, OH, 43606-3452",60.6,Toledo, OH, 43606,3452
186,West Park Academy,West Park Academy,Cuyahoga,"Cleveland, OH, 44135-3761",47.6,Cleveland, OH, 44135,3761
188,United Preparatory Academy,United Preparatory Academy,Franklin,"Columbus, OH, 43215-1310",80.9,Columbus, OH, 43215,1310
189,Buckeye Preparatory Academy,Buckeye Preparatory Academy,Franklin,"Columbus, OH, 43205-2933",35.7,Columbus, OH, 43205,2933
190,Utica Shale Academy of Ohio,Jefferson County ESC,Jefferson,"Salineville, OH, 43945-9726",46.1,Salineville, OH, 43945,9726
191,REACH Academy,REACH Academy,Lucas,"Toledo, OH, 43605-1412",46.9,Toledo, OH, 43605,1412
192,Toledo SMART Elementary School,Toledo SMART Elementary School,Lucas,"Toledo, OH, 43609-2069",48.3,Toledo, OH, 43609,2069
193,T2 Honors Academy,T2 Honors Academy,Cuyahoga,"Warrensville Heights, OH, 44128-4236",42.1,Warrensville Heights, OH, 44128,4236
194,Norwood Conversion Community School,Norwood City,Hamilton,"Norwood, OH, 45212-3806",43.8,Norwood, OH, 45212,3806
195,Lakeshore Intergenerational School,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44119-2615",75.3,Cleveland, OH, 44119,2615
196,Steel Academy,Steel Academy,Summit,"Akron, OH, 44310-2656",45.1,Akron, OH, 44310,2656
197,Cincinnati Generation Academy,Cincinnati Generation Academy,Hamilton,"Denver, CO, 80203-0000",50.1,Denver, CO, 80203,0000
198,Zenith Academy West,Zenith Academy West,Franklin,"Columbus, OH, 43204-1213",45.6,Columbus, OH, 43204,1213
199,Clark Preparatory Academy,Clark Preparatory Academy,Clark,"Springfield, OH, 45506-2101",41,Springfield, OH, 45506,2101
200,Foxfire East Academy,Rolling Hills Local,Guernsey,"Cambridge, OH, 43725-8909",40.7,Cambridge, OH, 43725,8909
201,Stonebrook Montessori,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44108-2970",43.6,Cleveland, OH, 44108,2970
202,Ohio Valley Energy Technology Academy,Buckeye Local,Jefferson,"Rayland, OH, 43943-7847",45,Rayland, OH, 43943,7847
203,Citizens Academy Southeast,Cleveland Municipal,Cuyahoga,"Cleveland, OH, 44128-1736",65.7,Cleveland, OH, 44128,1736
204,Beacon Academy,Beacon Academy,Stark,"Canton, OH, 44706-5200",37.3,Canton, OH, 44706,5200
205,Bridge Gate Community School,Bridge Gate Community School,Franklin,"Columbus, OH, 43228-5102",32.1,Columbus, OH, 43228,5102
