Building IRN,Building Name,District IRN,District Name,County,Region,Address,City and Zip Code,Phone #,Principal,Performance Index Score 2016-17,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus,Performance Index Score 2015-16,Performance Index Score 2014-15,Watermark,,
304,Summit Academy Community School-Toledo,304,Summit Academy Community School-Toledo,Lucas,Region 1,1853 South Ave,"Toledo, OH, 43609-2086",(419) 385-5730,Julie A. Kadri,55.414,46.2,F,0,58.6,14.3,12.8,6.8,7.5,0,0,0,0,0,0,0,0,0,0,49.573,55.106,,,304
305,Summit Academy Community School-Warren,305,Summit Academy Community School-Warren,Trumbull,Region 5,2106 Arbor Ave SE,"Warren, OH, 44484-5225",(330) 369-4233,Allison R. Glass,57.744,48.1,F,0,50.3,21,19,6.2,3.6,0,0,0,0,0,0,0,0,0,0,57.072,53.404,,,305
306,Summit Academy Community School - Cincinnati,306,Summit Academy Community School - Cincinnati,Hamilton,Region 13,1660 Sternblock Ln,"Cincinnati, OH, 45237-3805",(513) 321-0561,Donna J. Fields,53.503,44.6,F,0,58.4,17.8,12.7,7.6,3.6,0,0,0,0,0,0,0,0,0,0,51.304,55.115,,,306
311,Bridges Community Academy,311,Bridges Community Academy,Seneca,Region 7,190 St Francis Ave,"Tiffin, OH, 44883-3475",(419) 455-9295,Catherine M. Smith,55.809,46.5,F,0,51.5,23.2,15.4,8.7,1.2,0,NC,NC,0,0,100,0,0,0,0,61.775,67.278,,,311
316,Constellation Schools: Westpark Community Middle,316,Constellation Schools: Westpark Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 251-7200,Mindy D. Kidd,78.692,65.6,D,0.2,21.3,23.9,29.1,17.2,8.3,0,0,0,0,0,0,0,0,0,0,72.605,77.195,,,316
318,Menlo Park Academy,43786,Cleveland Municipal,Cuyahoga,Region 3,14440 Triskett Rd,"Cleveland, OH, 44111-2263",(440) 925-6365,,106.422,88.7,B,0,1.9,8.5,19.9,32.2,32.5,4.9,106.422,88.7,0,1.9,8.5,19.9,32.2,32.5,4.9,110.76,100.92,,,318
319,Constellation Schools: Madison Community Elementary,319,Constellation Schools: Madison Community Elementary,Cuyahoga,Region 3,2015 W 95th St,"Cleveland, OH, 44102-3727",(216) 651-5212,Louis A. Marconi,57.856,48.2,F,0,46.8,26.3,17.7,7,2.2,0,0,0,0,0,0,0,0,0,0,53.874,70.39,,,319
320,Constellation Schools: Lorain Community Middle,320,Constellation Schools: Lorain Community Middle,Lorain,Region 2,5730 Broadview Rd,"Parma, OH, 44134-1602",(440) 242-2023,Melisa R. Shady,69.393,57.8,D,0,30.4,27.5,28.4,11.2,2.6,0,0,0,0,0,0,0,0,0,0,65.591,85.818,,,320
321,Constellation Schools: Old Brooklyn Community Middle,321,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 351-0280,Cherie Kaiser,81.495,67.9,D,0,19.9,23.1,27.1,14.8,13.6,1.5,0,0,0,0,0,0,0,0,0,77.643,90.94,,,321
338,Horizon Science Academy Toledo,338,Horizon Science Academy Toledo,Lucas,Region 1,2600 W Sylvania Ave,"Toledo, OH, 43613-4300",(419) 474-3350,AYDIN KARA,53.321,44.4,F,0.1,53.6,24.6,15.6,4.6,1.6,0,0,0,0,0,0,0,0,0,0,50.884,69.069,,,338
396,Mansfield Elective Academy,12931,Office of School Sponsorship,Franklin,Region 7,215 N Trimble Rd,"Mansfield, OH, 44906-2630",(567) 247-4475,David W. Shirley,46.531,38.8,F,0,65.3,20.4,10.2,4.1,0,0,0,0,0,0,0,0,0,0,0,42.157,49.268,,,396
417,Buckeye On-Line School for Success,417,Buckeye On-Line School for Success,Columbiana,Region 9,119 E Fifth St,"East Liverpool, OH, 43920-3030",(330) 385-1987,,64.689,53.9,D,4.2,33.5,24.5,21.6,10.5,5.6,0,NC,NC,0,0,0,16.7,33.3,50,0,64.095,69.445,,,417
509,Whitehall Preparatory and Fitness Academy,509,Whitehall Preparatory and Fitness Academy,Franklin,Region 11,3474 E Livingston Ave,"Columbus, OH, 43227-2279",(614) 324-4585,Matthew T. Dolan,59.759,49.8,F,0,42.7,28.7,19.9,6.6,2.2,0,0,0,0,0,0,0,0,0,0,53.16,74.649,,,509
510,Springfield Preparatory and Fitness Academy,510,Springfield Preparatory and Fitness Academy,Clark,Region 10,1615 Selma Rd,"Springfield, OH, 45505-4245",(937) 323-6250,Darren T. Fansler,68.48,57.1,D,0,28.8,34,19.2,13.6,4.4,0,0,0,0,0,0,0,0,0,0,65.854,85.461,,,510
511,Northland Preparatory and Fitness Academy,511,Northland Preparatory and Fitness Academy,Franklin,Region 11,1875 Morse Rd,"Columbus, OH, 43229-6603",(614) 318-0600,Lynn G. Hursey,54.242,45.2,F,0,51.5,26.8,13.9,5.6,2.3,0,0,0,0,0,0,0,0,0,0,57.285,71.834,,,511
534,Constellation Schools: Puritas Community Middle,534,Constellation Schools: Puritas Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 688-0680,Margaret M. Colwell,77.853,64.9,D,0.3,19.8,27.4,28.8,18.1,5.6,0,0,0,0,0,0,0,0,0,0,79.581,76.964,,,534
541,Constellation Schools: Outreach Academy for Students with Di,541,Constellation Schools: Outreach Academy for Students with Di,Cuyahoga,Region 3,3727 Bosworth Rd,"Cleveland, OH, 44111-6037",(216) 688-1900,Mary Wideman,43.939,36.6,F,0,57.6,39.4,3,0,0,0,0,0,0,0,0,0,0,0,0,43.929,37.059,,,541
543,Pinnacle Academy,543,Pinnacle Academy,Cuyahoga,Region 3,860 E 222nd St,"Euclid, OH, 44123-3317",(216) 731-0127,Charlena R. Dykes-Hunt,65.045,54.2,D,0,39.2,23.1,23.7,10.6,3.4,0,0,0,0,0,0,0,0,0,0,62.163,74.975,,,543
546,Winterfield Venture Academy,546,Winterfield Venture Academy,Lucas,Region 1,305 Wenz Rd,"Toledo, OH, 43615-6244",(419) 531-3285,Nathan W. Preston,65.642,54.7,D,0,36.8,27.7,17.6,11.4,6.6,0,0,0,0,0,0,0,0,0,0,59.347,70.361,,,546
553,"Columbus Humanities, Arts and Technology Academy",553,"Columbus Humanities, Arts and Technology Academy",Franklin,Region 11,1333 Morse Rd,"Columbus, OH, 43229-6322",(614) 261-1200,Alexander C. Adams,68.152,56.8,D,0,32.6,27.6,23.8,11.6,4.3,0,0,0,0,0,0,0,0,0,0,61.575,74.824,,,553
556,A+ Arts Academy,556,A+ Arts Academy,Franklin,Region 11,1395 Fair Ave,"Columbus, OH, 43205-1543",(614) 338-0767,David B. Fant,56.308,46.9,F,0,49.4,25.3,17.3,6.2,1.9,0,0,0,0,0,0,0,0,0,0,61.298,76.822,,,556
557,Columbus Arts & Technology Academy,557,Columbus Arts & Technology Academy,Franklin,Region 11,2255 Kimberly Pkwy E,"Columbus, OH, 43232-7210",(614) 577-0900,Derrick R. Shelton,81.637,68,D,0,16.2,25.3,34.3,17.4,6.8,0,0,0,0,0,0,0,0,0,0,76.667,85.646,,,557
558,Columbus Preparatory Academy,558,Columbus Preparatory Academy,Franklin,Region 11,3330 Chippewa St,"Columbus, OH, 43204-1653",(614) 275-3600,Brian P. Carlton,115.514,96.3,A,0,0,0.4,8.4,26,65.3,0,0,0,0,0,0,0,0,0,0,115.869,114.576,,,558
559,Orion Academy,559,Orion Academy,Hamilton,Region 13,1798 Queen City Ave,"Cincinnati, OH, 45214-1427",(513) 251-6000,Kendell L. Dorsey,61.873,51.6,D,0,40.8,27.1,22.3,7.2,2.7,0,0,0,0,0,0,0,0,0,0,56.381,67.358,,,559
560,Apex Academy,560,Apex Academy,Cuyahoga,Region 3,16005 Terrace Rd,"Cleveland, OH, 44112-2001",(216) 451-1725,Jennifer M. Littlefield,52.072,43.4,F,0,56,24,12.8,6,1.2,0,0,0,0,0,0,0,0,0,0,55.432,73.157,,,560
575,Hope Academy Northwest Campus,575,Hope Academy Northwest Campus,Cuyahoga,Region 3,1441 W 116th St,"Cleveland, OH, 44102-2301",(216) 226-6800,Julio S. Alarcon,62.955,52.5,D,0.8,40.4,24.2,19.9,12.4,2.3,0,0,0,0,0,0,0,0,0,0,58.333,60.584,,,575
576,King Academy Community School,576,King Academy Community School,Hamilton,Region 13,224 W Liberty St,"Cincinnati, OH, 45202-6990",(513) 421-7519,,79.713,66.4,D,1.1,18.4,21.8,37.9,16.7,4,0,0,0,0,0,0,0,0,0,0,80.538,73.896,,,576
577,Emerson Academy,577,Emerson Academy,Montgomery,Region 10,501 Hickory St,"Dayton, OH, 45410-1232",(937) 223-2889,Alison C. Foreman,64.181,53.5,D,0,39.3,24.9,21.7,11.1,2.9,0,0,0,0,0,0,0,0,0,0,67.312,75.776,,,577
608,Summit Academy Transition High School-Cincinnati,608,Summit Academy Transition High School-Cincinnati,Hamilton,Region 13,5800 Salvia Ave,"Cincinnati, OH, 45224-3029",(513) 541-4000,Stephen F. Geresy,49.571,41.3,F,1.4,61.4,17.1,14.3,2.9,2.9,0,0,0,0,0,0,0,0,0,0,41.27,79.054,,,608
609,Summit Academy Middle School - Lorain,609,Summit Academy Middle School - Lorain,Lorain,Region 2,346 Illinois Ave,"Lorain, OH, 44052-2106",(440) 288-0448,Diane K. Solomon,49.406,41.2,F,0,59.8,22.8,14.2,2.3,0.9,0,0,0,0,0,0,0,0,0,0,41.092,52.421,,,609
610,Summit Academy Middle School - Columbus,610,Summit Academy Middle School - Columbus,Franklin,Region 11,2521 Fairwood Ave Ste 200,"Columbus, OH, 43207-2712",(614) 237-5497,Cheryl L. Elliott,45.089,37.6,F,0,68.8,17.9,10.7,1.8,0.9,0,0,0,0,0,0,0,0,0,0,45,50.414,,,610
613,Heir Force Community School,613,Heir Force Community School,Allen,Region 6,150 W Grand Ave,"Lima, OH, 45801-4006",(419) 228-9241,Darwin O. Lofton,70.882,59.1,D,0,30.9,25.3,24.2,12.9,6.6,0,0,0,0,0,0,0,0,0,0,73.21,88.28,,,613
614,Summit Academy Transition High School-Columbus,614,Summit Academy Transition High School-Columbus,Franklin,Region 11,2521 Fairwood Ave,"Columbus, OH, 43207-2712",(614) 880-0714,Trina C. Holloway - Moore,43.729,36.4,F,1.7,64.4,23.7,10.2,0,0,0,0,0,0,0,0,0,0,0,0,43.945,63.361,,,614
616,Summit Academy Alternative LearnersWarren Middle & Secondary,616,Summit Academy Alternative LearnersWarren Middle & Secondary,Trumbull,Region 5,1461 Moncrest Dr NW,"Warren, OH, 44485-1928",(330) 399-1692,Erin A. Bradley,47.483,39.6,F,2.8,60.8,19.6,11.9,2.8,2.1,0,0,0,0,0,0,0,0,0,0,48.75,65.26,,,616
621,Summit Academy Transition High School Dayton,621,Summit Academy Transition High School Dayton,Montgomery,Region 8,251 Erdiel Dr,"Dayton, OH, 45415-3632",(937) 223-3154,Gary L. Miller,44.352,37,F,5.2,61.7,18.7,13.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,44.634,65.565,,,621
623,Summit Academy-Youngstown,623,Summit Academy-Youngstown,Mahoning,Region 5,144 N Schenley Ave,"Youngstown, OH, 44509-2041",(330) 259-0421,Michael J. Majzun,48.895,40.7,F,0,63.7,18.7,10.2,4.8,2.5,0,0,0,0,0,0,0,0,0,0,49.972,61.677,,,623
629,Summit Academy Community School - Painesville,629,Summit Academy Community School - Painesville,Lake,Region 4,268 N State St,"Painesville, OH, 44077-4009",(440) 358-0877,Frank B. Cheraso,61.94,51.6,D,0.7,43.3,23.1,16.4,10.4,6,0,0,0,0,0,0,0,0,0,0,59.286,71.164,,,629
633,Summit Academy Toledo Learning Center,633,Summit Academy Toledo Learning Center,Lucas,Region 1,5115 Glendale Ave Ste N,"Toledo, OH, 43614-1801",(419) 476-7859,Abby J. Spangler,61.737,51.4,D,0.5,44.7,21.6,16.3,11.6,5.3,0,0,0,0,0,0,0,0,0,0,54.173,61.088,,,633
634,Summit Academy Secondary School - Middletown,634,Summit Academy Secondary School - Middletown,Butler,Region 13,7 S Marshall Rd,"Middletown, OH, 45044-5375",(513) 420-9767,Beth A. Varley,53.699,44.7,F,0,57.2,19.1,13.3,6.9,3.5,0,0,0,0,0,0,0,0,0,0,57.273,71.429,,,634
640,Rittman Academy,12931,Office of School Sponsorship,Franklin,Region 9,100 Saurer St,"Rittman, OH, 44270-1259",(330) 927-7401,,50.455,42,F,0,50,36.4,13.6,0,0,0,0,0,0,0,0,0,0,0,0,NC,NC,,,640
677,New Day Academy Boarding & Day School,677,New Day Academy Boarding & Day School,Cuyahoga,Region 3,8566 Barbara Dr,"Mentor, OH, 44060-1917",(440) 516-0866,,50.759,42.3,F,0,56.3,25,17.9,0.4,0.4,0,0,0,0,0,0,0,0,0,0,40.29,70.833,Graduation data may be incomplete due to local reporting error. Contact district for more information.,,677
679,Oakstone Community School,679,Oakstone Community School,Franklin,Region 11,5747 Cleveland Ave,"Columbus, OH, 43231-2831",(614) 458-1085,Erik L. Wilson,82.85,69,D,0,19.7,20.6,26.5,17.7,15.5,0,0,0,0,0,0,0,0,0,0,81.891,96.036,,,679
725,Zenith Academy,725,Zenith Academy,Franklin,Region 11,8210 Havens Rd,"Blacklick, OH, 43004-8630",(614) 888-9997,,59.394,49.5,F,1.3,42.9,25.8,21.1,7.5,1.4,0,0,0,0,0,0,0,0,0,0,50.179,73.047,,,725
736,HBCU Preparatory School 1,736,HBCU Preparatory School 1,Cuyahoga,Region 3,12601 Shaker Blvd,"Cleveland, OH, 44120-2041",(216) 812-0244,Timothy Roberts,78.598,65.5,D,0.3,22.4,20.2,35.2,16.5,5.3,0,0,0,0,0,0,0,0,0,0,71.775,80.519,,,736
738,HBCU Preparatory School 2,738,HBCU Preparatory School 2,Cuyahoga,Region 3,12601 Shaker Blvd,"Cleveland, OH, 44120-2041",(216) 812-0244,Timothy Roberts,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,,738
770,"Maritime Academy of Toledo, The",770,"Maritime Academy of Toledo, The",Lucas,Region 1,803 Water St,"Toledo, OH, 43604-1831",(419) 244-9999,Aaron M. Lusk,56.464,47.1,F,0.2,46.8,28.1,18.7,4.9,1.2,0,0,0,0,0,0,0,0,0,0,56.098,74.564,Graduation data may be incomplete due to local reporting error. Contact district for more information.,,770
779,Educational Academy for Boys & Girls,123257,North Central Ohio ESC,Seneca,Region 11,1500 W 3rd Ave,"Columbus, OH, 43212-2843",(614) 294-3020,,69.421,57.9,D,0,28.1,33.1,20.7,13.2,5,0,0,0,0,0,0,0,0,0,0,54.771,65,,,779
780,Midnimo Cross Cultural Community School,123257,North Central Ohio ESC,Seneca,Region 11,1500 W 3rd Ave Ste 125,"Columbus, OH, 43212-2883",(614) 261-7480,Amy L. Shrock,58.547,48.8,F,0,47.6,23.6,17.9,8.1,2.7,0,0,0,0,0,0,0,0,0,0,58.326,68.129,,,780
804,Horizon Science Academy-Cincinnati,804,Horizon Science Academy-Cincinnati,Hamilton,Region 13,1055 Laidlaw Ave,"Cincinnati, OH, 45237-5005",(513) 242-0099,Ergun Sevilmis,53.402,44.5,F,0.2,54.7,22.7,14.8,5.1,2.5,0,0,0,0,0,0,0,0,0,0,48.668,62.155,,,804
808,Horizon Science Academy-Dayton,808,Horizon Science Academy-Dayton,Montgomery,Region 10,4751 sue ann blvd,"Dayton, OH, 45415-0000",(937) 277-1177,Kellie K. Berlean,54.826,45.7,F,0,53,22.2,18.7,3.9,2.2,0,0,0,0,0,0,0,0,0,0,55.853,68.208,,,808
825,Horizon Science Academy-Springfield,825,Horizon Science Academy-Springfield,Lucas,Region 1,630 S Reynolds Rd,"Toledo, OH, 43615-6314",(419) 535-0524,Erin A. Schreiner,63.593,53,D,0,37.8,28.9,21.3,8.1,3.9,0,0,0,0,0,0,0,0,0,0,60.201,66.433,,,825
838,Horizon Science Academy-Denison Middle School,838,Horizon Science Academy-Denison Middle School,Cuyahoga,Region 3,1700 Denison Ave,"Cleveland, OH, 44109-2925",(216) 739-9911,,60.061,50.1,D,0,41,29.8,22.7,6.1,0.4,0,0,0,0,0,0,0,0,0,0,55.676,51.391,,,838
843,Bennett Venture Academy,843,Bennett Venture Academy,Lucas,Region 1,5130 Bennett Road,"Toledo, OH, 43612-0000",(419) 269-2247,nicolette r. whitson,71.71,59.8,D,0,29.2,26.4,23.6,14.1,6.7,0,0,0,0,0,0,0,0,0,0,68.487,78.884,,,843
855,Stambaugh Charter Academy,855,Stambaugh Charter Academy,Mahoning,Region 5,2420 Donald Ave,"Youngstown, OH, 44509-1306",(330) 792-4806,Landon A. Brown II,76.82,64,D,0,23.3,26.4,24.2,14.7,11.3,0,0,0,0,0,0,0,0,0,0,70.198,70.027,,,855
858,Horizon Science Academy-Cleveland Middle School,858,Horizon Science Academy-Cleveland Middle School,Cuyahoga,Region 3,6100 S Marginal Rd,"Cleveland, OH, 44103-1043",(216) 432-9940,,66.197,55.2,D,0,34.6,29.1,19.6,13,3.8,0,0,0,0,0,0,0,0,0,0,66.515,81.006,,,858
875,Westside Academy,875,Westside Academy,Franklin,Region 11,4330 Clime Rd North,"Columbus, OH, 43228-3439",(614) 272-9392,,79.898,66.6,D,0,23,17.9,35.7,15.8,7.7,0,0,0,0,0,0,0,0,0,0,66.468,67.857,,,875
930,Cleveland Entrepreneurship Preparatory School,43786,Cleveland Municipal,Cuyahoga,Region 3,1417 E 36th St Fl 2,"Cleveland, OH, 44114-4116",(216) 456-2080,,75.062,62.6,D,0,25.9,24.9,25.2,16.9,7.1,0,0,0,0,0,0,0,0,0,0,73.607,85.536,,,930
938,East Bridge Academy of Excellence,938,East Bridge Academy of Excellence,Franklin,Region 11,2323 Lake Club Dr,"Columbus, OH, 43232-3101",(614) 501-3822,Emmanuel D. Anthony,41.765,34.8,F,0,73.5,17.6,5.9,2.9,0,0,0,0,0,0,0,0,0,0,0,39.655,46.222,,,938
941,Par Excellence Academy,44453,Newark City,Licking,Region 11,1350 Granville Rd,"Newark, OH, 43055-3906",(740) 344-7279,,89.63,74.7,C,0.6,16.7,10.5,30.9,21.6,19.8,0,0,0,0,0,0,0,0,0,0,75.072,86.452,,,941
951,Toledo Preparatory and Fitness Academy,951,Toledo Preparatory and Fitness Academy,Lucas,Region 13,3001 Hill Ave,"Toledo, OH, 43607-2932",(419) 535-3700,Valerie E. Sandy,68.449,57,D,0,33,26.6,23.8,11.6,5,0,0,0,0,0,0,0,0,0,0,76.523,79.885,,,951
952,Columbus Preparatory and Fitness Academy,952,Columbus Preparatory and Fitness Academy,Franklin,Region 11,1258 Demorest Rd,"Columbus, OH, 43204-7003",(614) 318-0606,Jeffrey R. Luelleman,72.767,60.6,D,0,30.2,22.7,25,14.7,7.4,0,0,0,0,0,0,0,0,0,0,66.97,81.267,,,952
953,Mt. Healthy Preparatory and Fitness Academy,953,Mt. Healthy Preparatory and Fitness Academy,Hamilton,Region 13,7601 Harrison Ave,"Cincinnati, OH, 45231-3107",(513) 587-6280,Timothy R. Baggs,63.785,53.2,D,0,41.6,22.7,19.9,11.4,4.4,0,0,0,0,0,0,0,0,0,0,57.91,69.893,,,953
7984,Youngstown Academy of Excellence,7984,Youngstown Academy of Excellence,Mahoning,Region 5,1408 Rigby St,"Youngstown, OH, 44506-1617",(330) 746-3970,Jennifer R. Szallai,60.185,50.2,D,0,44.9,24.5,18.5,9.7,2.3,0,0,0,0,0,0,0,0,0,0,57.305,66.872,,,7984
7995,Cleveland Arts and Social Sciences Academy,7995,Cleveland Arts and Social Sciences Academy,Cuyahoga,Region 3,10701 Shaker Blvd,"Cleveland, OH, 44104-3752",(216) 229-3000,Debroah A. Mays,79.389,66.2,D,0,27.1,17.1,20.2,19.3,16.3,0,0,0,0,0,0,0,0,0,0,78.639,74.6,,,7995
7999,Charles School at Ohio Dominican University,7999,Charles School at Ohio Dominican University,Franklin,Region 11,3950 Indianola Ave,"Columbus, OH, 43214-3158",(614) 258-8588,,71.761,59.8,D,0.3,23.3,32.7,32.7,7.5,3.5,0,0,0,0,0,0,0,0,0,0,71.826,85.369,,,7999
8000,Lorain Preparatory Academy,8000,Lorain Preparatory Academy,Lorain,Region 2,4119 Leavitt Rd,"Lorain, OH, 44053-2341",(440) 282-3127,James P. Sinclair,66.387,55.3,D,0.1,35.7,25.6,23.8,12,2.7,0,0,0,0,0,0,0,0,0,0,66.374,71.743,,,8000
8064,Academy of Arts and Sciences,8064,Academy of Arts and Sciences,Lorain,Region 2,4101 Leavitt Rd,"Lorain, OH, 44053-2341",(567) 998-7552,Erik A. Thorson,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,,8064
8278,Noble Academy-Cleveland,8278,Noble Academy-Cleveland,Cuyahoga,Region 3,1200 E 200th St,"Euclid, OH, 44117-1111",(216) 486-8866,,74.437,62,D,0,24,28,29.2,12.9,5.9,0,0,0,0,0,0,0,0,0,0,76.511,85.296,,,8278
8280,Noble Academy-Columbus,8280,Noble Academy-Columbus,Franklin,Region 11,1329 Bethel Rd,"Columbus, OH, 43220-2611",(614) 326-0687,Abdulkadir Parlar,72.252,60.2,D,0.2,31.5,21.7,22.1,17.5,6.8,0.2,0,0,0,0,0,0,0,0,0,75.133,77.517,,,8280
8281,South Scioto Academy,8281,South Scioto Academy,Franklin,Region 11,2200 Winslow Dr,"Columbus, OH, 43207-2270",(614) 445-7684,Donnell Q. Drake,49.902,41.6,F,0.7,56.7,26.1,10.7,5.2,0.7,0,0,0,0,0,0,0,0,0,0,47.719,58.648,,,8281
8286,Harvard Avenue Performance Academy,8286,Harvard Avenue Performance Academy,Cuyahoga,Region 3,12000 Harvard Ave,"Cleveland, OH, 44105-5444",(216) 283-5100,Brittiany Sanford,45.928,38.3,F,0,66.7,20.2,8,3.4,1.6,0,0,0,0,0,0,0,0,0,0,42.225,NC,,,8286
8287,Groveport Community School,8287,Groveport Community School,Franklin,Region 11,4485 S Hamilton Rd,"Groveport, OH, 43125-9334",(614) 574-0037,Dair F. Foster,71.366,59.5,D,0,29.8,25.3,26.6,13.3,5,0,0,0,0,0,0,0,0,0,0,65.946,72.939,,,8287
9122,Columbus Collegiate Academy,9122,Columbus Collegiate Academy,Franklin,Region 11,1469 E Main St,"Columbus, OH, 43205-2152",(614) 299-5284,Melissa C. Barrett,70.902,59.1,D,0.6,32.4,20.9,25.1,16.3,4.6,0,0,0,0,0,0,0,0,0,0,70.685,82.736,,,9122
9147,Northpointe Academy,9147,Northpointe Academy,Lucas,Region 1,3648 Victory Ave,"Toledo, OH, 43607-2564",(419) 535-1997,Nicholas L. Jacobs,45.266,37.7,F,1.3,67.1,18.3,7,3.8,2.5,0,0,0,0,0,0,0,0,0,0,44.677,57.041,,,9147
