Building IRN,Building Name,District IRN,District Name,County,Region,Open/Closed Status as of 9/12/2017,School Type,Student Group,Read 3rd Grade 2016-2017 % Proficient or above,Math 3rd Grade 2016-2017 % Proficient or above,Read 4th Grade 2016-2017 % Proficient or above,Math 4th Grade 2016-2017 % Proficient or above,Social Studies 4th Grade 2016-2017 % Proficient or above,Read 5th Grade 2016-2017 % Proficient or above,Math 5th Grade 2016-2017 % Proficient or above,Science 5th Grade 2016-2017 % Proficient or above,Read 6th Grade 2016-2017 % Proficient or above,Math 6th Grade 2016-2017 % Proficient or above,Social Studies 6th Grade 2016-2017 % Proficient or above,Read 7th Grade 2016-2017 % Proficient or above,Math 7th Grade 2016-2017 % Proficient or above,Read 8th Grade 2016-2017 % Proficient or above,Math 8th Grade 2016-2017 % Proficient or above,Science 8th Grade 2016-2017 % Proficient or above,History End of Course 2016-2017 % Proficient or Above,Government End of Course 2016-2017 % Proficient or Above,Physical Science End of Course 2016-2017 % Proficient or Above,English Language Arts I End of Course 2016-2017 % Proficient or Above,English Language Arts II End of Course 2016-2017 % Proficient or Above,Algebra I End of Course 2016-2017 % Proficient or Above,Geometry End of Course 2016-2017 % Proficient or Above,Integrated Math I End of Course 2016-2017 % Proficient or Above,Integrated Math II End of Course 2016-2017 % Proficient or Above,Biology End of Course 2016-2017 % Proficient or Above,Attendance rate 2016-2017,4-Year Longitudinal Graduation Rate - Class of 2016,5-Year Longitudinal Graduation Rate - Class of 2015,Enrollment,% of Total Enrollment,Watermark
000116,Hamilton Freshman School,044107,Hamilton City,Butler,Region 13,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,54.9,NC,44.2,76.0,NC,NC,NC,92.8,NC,NC,458,67.5,
000116,Hamilton Freshman School,044107,Hamilton City,Butler,Region 13,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,83.7,NC,48.8,86.0,NC,NC,NC,>95.0,NC,NC,222,32.7,
000117,Adamsville Elementary School,048876,Tri-Valley Local,Muskingum,Region 12,Open,Elementary School,Disadvantaged,81.0,71.4,70.8,66.7,>95.0,76.9,57.7,73.1,65.0,50.0,70.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.6,NC,NC,159,58.2,
000117,Adamsville Elementary School,048876,Tri-Valley Local,Muskingum,Region 12,Open,Elementary School,NonDisadvantaged,84.6,84.6,71.4,85.7,>95.0,88.2,70.6,88.2,75.0,75.0,75.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,114,41.8,
000118,Hamilton Intermediate School,046953,Hamilton Local,Franklin,Region 11,Open,Middle School,Disadvantaged,NC,NC,58.0,76.8,85.7,67.1,70.0,77.9,56.5,67.1,80.1,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.8,NC,NC,484,75.4,
000118,Hamilton Intermediate School,046953,Hamilton Local,Franklin,Region 11,Open,Middle School,NonDisadvantaged,NC,NC,86.4,88.6,>95.0,87.9,79.3,81.0,68.9,66.7,77.8,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,158,24.6,
000119,Oak Hill Middle/High School,047761,Oak Hill Union Local,Jackson,Region 16,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,45.6,38.2,61.8,60.9,65.2,45.2,80.6,66.1,54.7,34.8,NC,50.6,39.1,35.6,31.3,NC,NC,47.5,93.6,92.2,91.3,333,56.3,
000119,Oak Hill Middle/High School,047761,Oak Hill Union Local,Jackson,Region 16,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,77.1,77.1,82.9,66.7,78.8,67.5,77.5,80.0,94.4,53.8,NC,77.5,76.6,65.0,55.3,NC,NC,92.1,>95.0,>95.0,>95.0,259,43.8,
000124,Oak Hill Elementary,047761,Oak Hill Union Local,Jackson,Region 16,Open,Elementary School,Disadvantaged,55.7,86.9,54.0,76.0,68.0,62.9,47.5,70.5,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.6,NC,NC,394,66.4,
000124,Oak Hill Elementary,047761,Oak Hill Union Local,Jackson,Region 16,Open,Elementary School,NonDisadvantaged,74.1,>95.0,90.0,93.1,93.3,84.8,63.6,87.9,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,199,33.6,
000135,South Vienna Middle School,046250,Northeastern Local,Clark,Region 10,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,48.1,77.8,59.3,31.4,60.0,29.2,56.5,50.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,91.2,NC,NC,89,30.2,
000135,South Vienna Middle School,046250,Northeastern Local,Clark,Region 10,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,74.6,81.7,81.7,62.5,79.4,65.1,75.0,87.3,NC,NC,NC,NC,NC,>95.0,NC,NC,NC,NC,94.1,NC,NC,206,69.8,
000137,Northridge Middle School,046250,Northeastern Local,Clark,Region 10,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,54.3,48.6,48.6,60.5,57.9,43.2,55.6,70.3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.8,NC,NC,116,24.2,
000137,Northridge Middle School,046250,Northeastern Local,Clark,Region 10,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,72.3,72.0,76.5,71.4,70.3,69.7,66.7,84.0,NC,NC,NC,NC,NC,>95.0,NC,NC,NC,NC,>95.0,NC,NC,363,75.8,
000138,Pathway School of Discovery,000138,Pathway School of Discovery,Montgomery,Region 10,Open,Elementary School,Disadvantaged,55.2,65.7,47.1,62.7,72.5,53.7,38.9,42.6,64.8,41.5,53.7,43.3,40.0,41.5,26.8,47.3,NC,NC,NC,NC,NC,50.0,NC,NC,NC,NC,92.3,NC,NC,557,72.5,
000138,Pathway School of Discovery,000138,Pathway School of Discovery,Montgomery,Region 10,Open,Elementary School,NonDisadvantaged,76.5,76.5,63.0,81.5,81.5,75.0,63.0,63.0,73.7,52.6,57.9,73.9,60.9,76.2,NC,76.2,NC,NC,NC,NC,NC,>95.0,NC,NC,NC,NC,95.0,NC,NC,210,27.3,
000139,Alliance Academy of Cincinnati,000139,Alliance Academy of Cincinnati,Hamilton,Region 13,Open,Elementary School,Disadvantaged,41.9,54.1,28.0,42.0,42.0,29.1,9.3,16.7,32.1,30.2,40.4,32.4,18.9,39.5,28.9,52.6,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,91.4,NC,NC,507,>95.0,
000139,Alliance Academy of Cincinnati,000139,Alliance Academy of Cincinnati,Hamilton,Region 13,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000141,Addaville Elementary School,065680,Gallia County Local,Gallia,Region 16,Open,Elementary School,Disadvantaged,74.0,76.0,66.0,41.5,77.4,72.9,68.8,83.3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.6,NC,NC,356,>95.0,
000141,Addaville Elementary School,065680,Gallia County Local,Gallia,Region 16,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000177,Fairland West Elementary School,047936,Fairland Local,Lawrence,Region 15,Open,Elementary School,Disadvantaged,76.3,91.5,81.9,>95.0,94.4,73.5,84.3,77.1,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,221,56.7,
000177,Fairland West Elementary School,047936,Fairland Local,Lawrence,Region 15,Open,Elementary School,NonDisadvantaged,>95.0,>95.0,92.0,>95.0,>95.0,94.1,>95.0,94.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,169,43.3,
000187,Centerburg Middle School,047829,Centerburg Local,Knox,Region 7,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,38.9,33.3,44.4,26.7,26.7,10.0,36.8,68.4,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,92.7,NC,NC,53,20.2,
000187,Centerburg Middle School,047829,Centerburg Local,Knox,Region 7,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,57.8,76.9,72.3,67.7,60.0,54.4,59.3,84.8,NC,NC,NC,NC,NC,>95.0,NC,NC,NC,NC,94.9,NC,NC,209,79.5,
000190,Buckeye West Elementary School,047787,Buckeye Local,Jefferson,Region 12,Open,Elementary School,Disadvantaged,50.0,54.5,58.8,82.4,82.4,52.0,60.0,48.0,31.8,63.6,59.1,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,92.6,NC,NC,183,60.0,
000190,Buckeye West Elementary School,047787,Buckeye Local,Jefferson,Region 12,Open,Elementary School,NonDisadvantaged,83.3,88.9,71.4,90.5,>95.0,42.9,57.1,57.1,78.6,85.7,85.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.9,NC,NC,122,40.0,
000208,Adena High School,049494,Adena Local,Ross,Region 15,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,54.3,64.3,NC,30.4,39.1,26.1,30.8,NC,NC,27.5,93.1,92.0,80.6,122,36.1,
000208,Adena High School,049494,Adena Local,Ross,Region 15,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,75.3,75.3,NC,50.0,56.7,39.6,59.2,NC,NC,54.1,>95.0,94.4,>95.0,216,63.9,
000222,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,Lucas,Region 1,Open,High School,Disadvantaged,66.7,52.4,29.2,33.3,20.8,52.2,21.7,39.1,35.7,35.7,42.9,31.6,26.3,18.2,36.4,36.4,>95.0,50.0,NC,NC,53.3,40.0,46.7,NC,NC,NC,93.1,NC,NC,214,62.6,
000222,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,Lucas,Region 1,Open,High School,NonDisadvantaged,84.6,53.8,NC,NC,NC,NC,NC,NC,70.6,50.0,64.7,27.3,25.0,NC,NC,NC,NC,76.9,NC,NC,63.6,NC,30.0,NC,NC,NC,>95.0,NC,NC,128,37.4,
000224,Adlai Stevenson School,043786,Cleveland Municipal,Cuyahoga,Region 3,Open,Elementary School,Disadvantaged,48.9,61.4,13.3,25.6,22.7,10.9,4.4,6.7,8.6,8.8,8.8,5.7,6.1,8.8,8.8,5.9,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.5,NC,NC,445,>95.0,
000224,Adlai Stevenson School,043786,Cleveland Municipal,Cuyahoga,Region 3,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000231,Unioto Elementary,049536,Union-Scioto Local,Ross,Region 15,Open,Elementary School,Disadvantaged,65.9,84.1,46.8,79.7,88.6,64.0,70.9,81.4,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.6,NC,NC,556,50.6,
000231,Unioto Elementary,049536,Union-Scioto Local,Ross,Region 15,Open,Elementary School,NonDisadvantaged,86.2,87.2,70.0,84.8,90.0,82.4,83.5,90.6,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,544,49.5,
000232,Adrian Elementary School,044792,South Euclid-Lyndhurst City,Cuyahoga,Region 3,Open,Elementary School,Disadvantaged,60.4,50.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,197,68.9,
000232,Adrian Elementary School,044792,South Euclid-Lyndhurst City,Cuyahoga,Region 3,Open,Elementary School,NonDisadvantaged,89.5,84.2,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,89,31.1,
000234,Ella P. Stewart Academy for Girls,044909,Toledo City,Lucas,Region 1,Open,Elementary School,Disadvantaged,64.3,85.7,30.8,15.4,26.9,52.6,31.6,21.1,36.4,33.3,21.2,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,198,>95.0,
000234,Ella P. Stewart Academy for Girls,044909,Toledo City,Lucas,Region 1,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000236,"Ohio Connections Academy, Inc",000236,"Ohio Connections Academy, Inc",Cuyahoga,Region 11,Open,High School,Disadvantaged,66.1,32.8,60.0,41.7,60.0,55.3,21.1,45.3,39.1,29.2,37.7,54.5,40.4,44.9,39.4,56.9,52.5,54.1,NC,59.6,54.1,26.1,16.9,NC,NC,45.5,>95.0,52.6,64.6,1414,43.2,
000236,"Ohio Connections Academy, Inc",000236,"Ohio Connections Academy, Inc",Cuyahoga,Region 11,Open,High School,NonDisadvantaged,67.2,60.7,70.5,74.6,79.0,74.7,47.3,58.9,64.6,41.8,63.3,73.2,46.8,59.5,60.0,74.0,74.1,68.7,NC,74.3,72.3,38.5,44.6,NC,NC,66.1,>95.0,77.6,79.7,1862,56.8,
000241,Quaker Digital Academy,044487,New Philadelphia City,Tuscarawas,Region 12,Open,High School,Disadvantaged,84.6,53.8,NC,NC,NC,53.3,33.3,53.3,26.7,13.3,28.6,36.8,21.1,0.0,0.0,14.3,42.0,51.1,NC,52.2,47.4,9.4,11.4,NC,NC,31.6,86.5,35.1,49.0,278,49.6,
000241,Quaker Digital Academy,044487,New Philadelphia City,Tuscarawas,Region 12,Open,High School,NonDisadvantaged,69.2,61.5,75.0,30.0,75.0,35.3,5.9,29.4,56.5,39.1,43.5,61.5,34.6,43.5,31.8,52.2,48.0,45.5,NC,55.6,40.0,13.3,10.3,NC,NC,43.3,85.6,47.3,33.0,282,50.4,
000242,North Union Elementary School,050336,North Union Local School District,Union,Region 11,Open,Elementary School,Disadvantaged,70.8,87.5,57.1,83.7,>95.0,58.0,48.0,70.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,94.1,NC,NC,300,41.1,
000242,North Union Elementary School,050336,North Union Local School District,Union,Region 11,Open,Elementary School,NonDisadvantaged,84.8,90.9,90.0,91.7,>95.0,84.7,83.1,90.3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,430,58.9,
000257,Alexander Elementary School,045906,Alexander Local,Athens,Region 16,Open,Elementary School,Disadvantaged,64.7,59.2,48.1,57.4,61.1,60.8,58.8,68.6,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.4,NC,NC,348,49.4,
000257,Alexander Elementary School,045906,Alexander Local,Athens,Region 16,Open,Elementary School,NonDisadvantaged,82.5,82.5,74.5,84.3,90.2,82.9,74.3,92.9,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,357,50.6,
000265,Albion Elementary School,044545,North Royalton City,Cuyahoga,Region 3,Open,Elementary School,Disadvantaged,84.6,92.3,69.6,86.4,>95.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,71,15.0,
000265,Albion Elementary School,044545,North Royalton City,Cuyahoga,Region 3,Open,Elementary School,NonDisadvantaged,88.0,94.0,88.6,>95.0,>95.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,401,85.0,
000270,Main Street School,044560,Norwalk City,Huron,Region 2,Open,Elementary School,Disadvantaged,NC,NC,NC,NC,NC,65.8,47.4,75.2,55.1,43.6,61.5,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,241,55.1,
000270,Main Street School,044560,Norwalk City,Huron,Region 2,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,84.4,70.8,87.5,70.1,68.8,82.3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,196,44.9,
000291,Malvern Middle School,046177,Brown Local,Carroll,Region 12,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,36.0,40.0,36.0,42.3,42.3,21.4,18.2,35.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.3,NC,NC,69,47.9,
000291,Malvern Middle School,046177,Brown Local,Carroll,Region 12,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,31.3,64.7,35.3,64.0,60.0,53.1,38.1,43.8,NC,NC,NC,NC,NC,81.8,NC,NC,NC,NC,94.9,NC,NC,75,52.1,
000296,Summit Academy Community School-Columbus,000296,Summit Academy Community School-Columbus,Franklin,Region 11,Open,Elementary School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,92.1,NC,NC,42,>95.0,
000296,Summit Academy Community School-Columbus,000296,Summit Academy Community School-Columbus,Franklin,Region 11,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000297,Summit Academy Community School - Dayton,000297,Summit Academy Community School - Dayton,Montgomery,Region 10,Open,Junior High School,Disadvantaged,38.9,38.9,35.7,14.3,21.4,35.0,0.0,20.0,26.7,20.0,21.4,6.7,20.0,33.3,26.7,46.7,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,88.5,NC,NC,142,>95.0,
000297,Summit Academy Community School - Dayton,000297,Summit Academy Community School - Dayton,Montgomery,Region 10,Open,Junior High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000298,Summit Academy Secondary - Akron,000298,Summit Academy Secondary - Akron,Summit,Region 8,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,65.5,50.0,NC,29.3,30.3,7.0,17.6,NC,NC,26.7,91.4,NC,76.9,72,>95.0,
000298,Summit Academy Secondary - Akron,000298,Summit Academy Secondary - Akron,Summit,Region 8,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000300,Summit Academy Secondary - Canton,000300,Summit Academy Secondary - Canton,Stark,Region 9,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,40.6,43.8,NC,17.9,19.2,3.8,4.0,NC,NC,29.4,92.9,72.7,86.7,100,>95.0,
000300,Summit Academy Secondary - Canton,000300,Summit Academy Secondary - Canton,Stark,Region 9,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000301,Summit Academy Secondary - Lorain,000301,Summit Academy Secondary - Lorain,Lorain,Region 2,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,28.6,33.3,NC,15.6,26.7,8.6,6.3,NC,NC,NC,82.8,71.4,82.6,59,>95.0,
000301,Summit Academy Secondary - Lorain,000301,Summit Academy Secondary - Lorain,Lorain,Region 2,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000302,Summit Academy Community School-Parma,000302,Summit Academy Community School-Parma,Cuyahoga,Region 3,Open,High School,Disadvantaged,25.0,12.5,37.5,37.5,56.3,47.1,29.4,52.9,33.3,26.7,40.0,33.3,33.3,16.7,22.2,22.2,46.7,50.0,NC,35.5,33.3,14.3,10.5,NC,NC,34.8,92.0,75.0,NC,194,>95.0,
000302,Summit Academy Community School-Parma,000302,Summit Academy Community School-Parma,Cuyahoga,Region 3,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000303,Summit Academy Secondary - Youngstown,000303,Summit Academy Secondary - Youngstown,Mahoning,Region 5,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,14.3,9.5,23.8,18.9,14.3,NC,17.2,17.9,5.7,8.5,NC,NC,20.0,87.9,48.7,57.9,222,91.4,
000303,Summit Academy Secondary - Youngstown,000303,Summit Academy Secondary - Youngstown,Mahoning,Region 5,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,21,8.6,
000304,Summit Academy Community School-Toledo,000304,Summit Academy Community School-Toledo,Lucas,Region 1,Closed,Elementary School,Disadvantaged,25.0,25.0,33.3,33.3,25.0,NC,NC,NC,16.7,8.3,8.3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,89.9,NC,NC,68,>95.0,
000304,Summit Academy Community School-Toledo,000304,Summit Academy Community School-Toledo,Lucas,Region 1,Closed,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
