Building IRN,Building Name,District IRN,District Name,County,Region,Address,City and Zip Code,Phone #,9,Performance Index Score 2016-17,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus,Performance Index Score 2015-16,Performance Index Score 2014-15,Watermark,,
000320,Constellation Schools: Lorain Community Middle,000320,Constellation Schools: Lorain Community Middle,Lorain,Region 2,5730 Broadview Rd,"Parma, OH, 44134-1602",(440) 242-2023,Melisa R. Shady,69.393,57.8,D,0.0,30.4,27.5,28.4,11.2,2.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.591,85.818,,,000320
000321,Constellation Schools: Old Brooklyn Community Middle,000321,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 351-0280,Cherie Kaiser,81.495,67.9,D,0.0,19.9,23.1,27.1,14.8,13.6,1.5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.643,90.940,,,000321
000338,Horizon Science Academy Toledo,000338,Horizon Science Academy Toledo,Lucas,Region 1,2600 W Sylvania Ave,"Toledo, OH, 43613-4300",(419) 474-3350,AYDIN KARA,53.321,44.4,F,0.1,53.6,24.6,15.6,4.6,1.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.884,69.069,,,000338
000396,Mansfield Elective Academy,012931,Office of School Sponsorship,Franklin,Region 7,215 N Trimble Rd,"Mansfield, OH, 44906-2630",(567) 247-4475,David W. Shirley,46.531,38.8,F,0.0,65.3,20.4,10.2,4.1,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.157,49.268,,,000396
000417,Buckeye On-Line School for Success,000417,Buckeye On-Line School for Success,Columbiana,Region 9,119 E Fifth St,"East Liverpool, OH, 43920-3030",(330) 385-1987,,64.689,53.9,D,4.2,33.5,24.5,21.6,10.5,5.6,0.0,NC,NC,0.0,0.0,0.0,16.7,33.3,50.0,0.0,64.095,69.445,,,000417
000509,Whitehall Preparatory and Fitness Academy,000509,Whitehall Preparatory and Fitness Academy,Franklin,Region 11,3474 E Livingston Ave,"Columbus, OH, 43227-2279",(614) 324-4585,Matthew T. Dolan,59.759,49.8,F,0.0,42.7,28.7,19.9,6.6,2.2,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.160,74.649,,,000509
000510,Springfield Preparatory and Fitness Academy,000510,Springfield Preparatory and Fitness Academy,Clark,Region 10,1615 Selma Rd,"Springfield, OH, 45505-4245",(937) 323-6250,Darren T. Fansler,68.480,57.1,D,0.0,28.8,34.0,19.2,13.6,4.4,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.854,85.461,,,000510
000511,Northland Preparatory and Fitness Academy,000511,Northland Preparatory and Fitness Academy,Franklin,Region 11,1875 Morse Rd,"Columbus, OH, 43229-6603",(614) 318-0600,Lynn G. Hursey,54.242,45.2,F,0.0,51.5,26.8,13.9,5.6,2.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.285,71.834,,,000511
000534,Constellation Schools: Puritas Community Middle,000534,Constellation Schools: Puritas Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 688-0680,Margaret M. Colwell,77.853,64.9,D,0.3,19.8,27.4,28.8,18.1,5.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.581,76.964,,,000534
000541,Constellation Schools: Outreach Academy for Students with Di,000541,Constellation Schools: Outreach Academy for Students with Di,Cuyahoga,Region 3,3727 Bosworth Rd,"Cleveland, OH, 44111-6037",(216) 688-1900,Mary Wideman,43.939,36.6,F,0.0,57.6,39.4,3.0,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.929,37.059,,,000541
000543,Pinnacle Academy,000543,Pinnacle Academy,Cuyahoga,Region 3,860 E 222nd St,"Euclid, OH, 44123-3317",(216) 731-0127,Charlena R. Dykes-Hunt,65.045,54.2,D,0.0,39.2,23.1,23.7,10.6,3.4,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.163,74.975,,,000543
000546,Winterfield Venture Academy,000546,Winterfield Venture Academy,Lucas,Region 1,305 Wenz Rd,"Toledo, OH, 43615-6244",(419) 531-3285,Nathan W. Preston,65.642,54.7,D,0.0,36.8,27.7,17.6,11.4,6.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.347,70.361,,,000546
000553,"Columbus Humanities, Arts and Technology Academy",000553,"Columbus Humanities, Arts and Technology Academy",Franklin,Region 11,1333 Morse Rd,"Columbus, OH, 43229-6322",(614) 261-1200,Alexander C. Adams,68.152,56.8,D,0.0,32.6,27.6,23.8,11.6,4.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.575,74.824,,,000553
000556,A+ Arts Academy,000556,A+ Arts Academy,Franklin,Region 11,1395 Fair Ave,"Columbus, OH, 43205-1543",(614) 338-0767,David B. Fant,56.308,46.9,F,0.0,49.4,25.3,17.3,6.2,1.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.298,76.822,,,000556
000557,Columbus Arts & Technology Academy,000557,Columbus Arts & Technology Academy,Franklin,Region 11,2255 Kimberly Pkwy E,"Columbus, OH, 43232-7210",(614) 577-0900,Derrick R. Shelton,81.637,68.0,D,0.0,16.2,25.3,34.3,17.4,6.8,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.667,85.646,,,000557
000558,Columbus Preparatory Academy,000558,Columbus Preparatory Academy,Franklin,Region 11,3330 Chippewa St,"Columbus, OH, 43204-1653",(614) 275-3600,Brian P. Carlton,115.514,96.3,A,0.0,0.0,0.4,8.4,26.0,65.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.869,114.576,,,000558
000559,Orion Academy,000559,Orion Academy,Hamilton,Region 13,1798 Queen City Ave,"Cincinnati, OH, 45214-1427",(513) 251-6000,Kendell L. Dorsey,61.873,51.6,D,0.0,40.8,27.1,22.3,7.2,2.7,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.381,67.358,,,000559
000560,Apex Academy,000560,Apex Academy,Cuyahoga,Region 3,16005 Terrace Rd,"Cleveland, OH, 44112-2001",(216) 451-1725,Jennifer M. Littlefield,52.072,43.4,F,0.0,56.0,24.0,12.8,6.0,1.2,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.432,73.157,,,000560
000575,Hope Academy Northwest Campus,000575,Hope Academy Northwest Campus,Cuyahoga,Region 3,1441 W 116th St,"Cleveland, OH, 44102-2301",(216) 226-6800,Julio S. Alarcon,62.955,52.5,D,0.8,40.4,24.2,19.9,12.4,2.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.333,60.584,,,000575
000576,King Academy Community School,000576,King Academy Community School,Hamilton,Region 13,224 W Liberty St,"Cincinnati, OH, 45202-6990",(513) 421-7519,,79.713,66.4,D,1.1,18.4,21.8,37.9,16.7,4.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.538,73.896,,,000576
000577,Emerson Academy,000577,Emerson Academy,Montgomery,Region 10,501 Hickory St,"Dayton, OH, 45410-1232",(937) 223-2889,Alison C. Foreman,64.181,53.5,D,0.0,39.3,24.9,21.7,11.1,2.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.312,75.776,,,000577
000608,Summit Academy Transition High School-Cincinnati,000608,Summit Academy Transition High School-Cincinnati,Hamilton,Region 13,5800 Salvia Ave,"Cincinnati, OH, 45224-3029",(513) 541-4000,Stephen F. Geresy,49.571,41.3,F,1.4,61.4,17.1,14.3,2.9,2.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.270,79.054,,,000608
000609,Summit Academy Middle School - Lorain,000609,Summit Academy Middle School - Lorain,Lorain,Region 2,346 Illinois Ave,"Lorain, OH, 44052-2106",(440) 288-0448,Diane K. Solomon,49.406,41.2,F,0.0,59.8,22.8,14.2,2.3,0.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.092,52.421,,,000609
000610,Summit Academy Middle School - Columbus,000610,Summit Academy Middle School - Columbus,Franklin,Region 11,2521 Fairwood Ave Ste 200,"Columbus, OH, 43207-2712",(614) 237-5497,Cheryl L. Elliott,45.089,37.6,F,0.0,68.8,17.9,10.7,1.8,0.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.000,50.414,,,000610
000613,Heir Force Community School,000613,Heir Force Community School,Allen,Region 6,150 W Grand Ave,"Lima, OH, 45801-4006",(419) 228-9241,Darwin O. Lofton,70.882,59.1,D,0.0,30.9,25.3,24.2,12.9,6.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.210,88.280,,,000613
000614,Summit Academy Transition High School-Columbus,000614,Summit Academy Transition High School-Columbus,Franklin,Region 11,2521 Fairwood Ave,"Columbus, OH, 43207-2712",(614) 880-0714,Trina C. Holloway - Moore,43.729,36.4,F,1.7,64.4,23.7,10.2,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.945,63.361,,,000614
000616,Summit Academy Alternative LearnersWarren Middle & Secondary,000616,Summit Academy Alternative LearnersWarren Middle & Secondary,Trumbull,Region 5,1461 Moncrest Dr NW,"Warren, OH, 44485-1928",(330) 399-1692,Erin A. Bradley,47.483,39.6,F,2.8,60.8,19.6,11.9,2.8,2.1,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.750,65.260,,,000616
000621,Summit Academy Transition High School Dayton,000621,Summit Academy Transition High School Dayton,Montgomery,Region 8,251 Erdiel Dr,"Dayton, OH, 45415-3632",(937) 223-3154,Gary L. Miller,44.352,37.0,F,5.2,61.7,18.7,13.5,0.5,0.5,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.634,65.565,,,000621
000623,Summit Academy-Youngstown,000623,Summit Academy-Youngstown,Mahoning,Region 5,144 N Schenley Ave,"Youngstown, OH, 44509-2041",(330) 259-0421,Michael J. Majzun,48.895,40.7,F,0.0,63.7,18.7,10.2,4.8,2.5,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.972,61.677,,,000623
000629,Summit Academy Community School - Painesville,000629,Summit Academy Community School - Painesville,Lake,Region 4,268 N State St,"Painesville, OH, 44077-4009",(440) 358-0877,Frank B. Cheraso,61.940,51.6,D,0.7,43.3,23.1,16.4,10.4,6.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.286,71.164,,,000629
000633,Summit Academy Toledo Learning Center,000633,Summit Academy Toledo Learning Center,Lucas,Region 1,5115 Glendale Ave Ste N,"Toledo, OH, 43614-1801",(419) 476-7859,Abby J. Spangler,61.737,51.4,D,0.5,44.7,21.6,16.3,11.6,5.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.173,61.088,,,000633
000634,Summit Academy Secondary School - Middletown,000634,Summit Academy Secondary School - Middletown,Butler,Region 13,7 S Marshall Rd,"Middletown, OH, 45044-5375",(513) 420-9767,Beth A. Varley,53.699,44.7,F,0.0,57.2,19.1,13.3,6.9,3.5,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.273,71.429,,,000634
000640,Rittman Academy,012931,Office of School Sponsorship,Franklin,Region 9,100 Saurer St,"Rittman, OH, 44270-1259",(330) 927-7401,,50.455,42.0,F,0.0,50.0,36.4,13.6,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,NC,,,000640
000677,New Day Academy Boarding & Day School,000677,New Day Academy Boarding & Day School,Cuyahoga,Region 3,8566 Barbara Dr,"Mentor, OH, 44060-1917",(440) 516-0866,,50.759,42.3,F,0.0,56.3,25.0,17.9,0.4,0.4,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.290,70.833,Graduation data may be incomplete due to local reporting error. Contact district for more information.,,000677
000679,Oakstone Community School,000679,Oakstone Community School,Franklin,Region 11,5747 Cleveland Ave,"Columbus, OH, 43231-2831",(614) 458-1085,Erik L. Wilson,82.850,69.0,D,0.0,19.7,20.6,26.5,17.7,15.5,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.891,96.036,,,000679
000725,Zenith Academy,000725,Zenith Academy,Franklin,Region 11,8210 Havens Rd,"Blacklick, OH, 43004-8630",(614) 888-9997,,59.394,49.5,F,1.3,42.9,25.8,21.1,7.5,1.4,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.179,73.047,,,000725
000736,HBCU Preparatory School 1,000736,HBCU Preparatory School 1,Cuyahoga,Region 3,12601 Shaker Blvd,"Cleveland, OH, 44120-2041",(216) 812-0244,Timothy Roberts,78.598,65.5,D,0.3,22.4,20.2,35.2,16.5,5.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.775,80.519,,,000736
000738,HBCU Preparatory School 2,000738,HBCU Preparatory School 2,Cuyahoga,Region 3,12601 Shaker Blvd,"Cleveland, OH, 44120-2041",(216) 812-0244,Timothy Roberts,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,,000738
000770,"Maritime Academy of Toledo, The",000770,"Maritime Academy of Toledo, The",Lucas,Region 1,803 Water St,"Toledo, OH, 43604-1831",(419) 244-9999,Aaron M. Lusk,56.464,47.1,F,0.2,46.8,28.1,18.7,4.9,1.2,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.098,74.564,Graduation data may be incomplete due to local reporting error. Contact district for more information.,,000770
000779,Educational Academy for Boys & Girls,123257,North Central Ohio ESC,Seneca,Region 11,1500 W 3rd Ave,"Columbus, OH, 43212-2843",(614) 294-3020,,69.421,57.9,D,0.0,28.1,33.1,20.7,13.2,5.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.771,65.000,,,000779
000780,Midnimo Cross Cultural Community School,123257,North Central Ohio ESC,Seneca,Region 11,1500 W 3rd Ave Ste 125,"Columbus, OH, 43212-2883",(614) 261-7480,Amy L. Shrock,58.547,48.8,F,0.0,47.6,23.6,17.9,8.1,2.7,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.326,68.129,,,000780
000804,Horizon Science Academy-Cincinnati,000804,Horizon Science Academy-Cincinnati,Hamilton,Region 13,1055 Laidlaw Ave,"Cincinnati, OH, 45237-5005",(513) 242-0099,Ergun Sevilmis,53.402,44.5,F,0.2,54.7,22.7,14.8,5.1,2.5,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.668,62.155,,,000804
000808,Horizon Science Academy-Dayton,000808,Horizon Science Academy-Dayton,Montgomery,Region 10,4751 sue ann blvd,"Dayton, OH, 45415",(937) 277-1177,Kellie K. Berlean,54.826,45.7,F,0.0,53.0,22.2,18.7,3.9,2.2,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.853,68.208,,,000808
000825,Horizon Science Academy-Springfield,000825,Horizon Science Academy-Springfield,Lucas,Region 1,630 S Reynolds Rd,"Toledo, OH, 43615-6314",(419) 535-0524,Erin A. Schreiner,63.593,53.0,D,0.0,37.8,28.9,21.3,8.1,3.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.201,66.433,,,000825
000838,Horizon Science Academy-Denison Middle School,000838,Horizon Science Academy-Denison Middle School,Cuyahoga,Region 3,1700 Denison Ave,"Cleveland, OH, 44109-2925",(216) 739-9911,,60.061,50.1,D,0.0,41.0,29.8,22.7,6.1,0.4,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.676,51.391,,,000838
000843,Bennett Venture Academy,000843,Bennett Venture Academy,Lucas,Region 1,5130 Bennett Road,"Toledo, OH, 43612",(419) 269-2247,nicolette r. whitson,71.710,59.8,D,0.0,29.2,26.4,23.6,14.1,6.7,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.487,78.884,,,000843
000855,Stambaugh Charter Academy,000855,Stambaugh Charter Academy,Mahoning,Region 5,2420 Donald Ave,"Youngstown, OH, 44509-1306",(330) 792-4806,Landon A. Brown II,76.820,64.0,D,0.0,23.3,26.4,24.2,14.7,11.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.198,70.027,,,000855
000858,Horizon Science Academy-Cleveland Middle School,000858,Horizon Science Academy-Cleveland Middle School,Cuyahoga,Region 3,6100 S Marginal Rd,"Cleveland, OH, 44103-1043",(216) 432-9940,,66.197,55.2,D,0.0,34.6,29.1,19.6,13.0,3.8,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.515,81.006,,,000858
000875,Westside Academy,000875,Westside Academy,Franklin,Region 11,4330 Clime Rd North,"Columbus, OH, 43228-3439",(614) 272-9392,,79.898,66.6,D,0.0,23.0,17.9,35.7,15.8,7.7,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.468,67.857,,,000875
000930,Cleveland Entrepreneurship Preparatory School,043786,Cleveland Municipal,Cuyahoga,Region 3,1417 E 36th St Fl 2,"Cleveland, OH, 44114-4116",(216) 456-2080,,75.062,62.6,D,0.0,25.9,24.9,25.2,16.9,7.1,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.607,85.536,,,000930
000938,East Bridge Academy of Excellence,000938,East Bridge Academy of Excellence,Franklin,Region 11,2323 Lake Club Dr,"Columbus, OH, 43232-3101",(614) 501-3822,Emmanuel D. Anthony,41.765,34.8,F,0.0,73.5,17.6,5.9,2.9,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.655,46.222,,,000938
000941,Par Excellence Academy,044453,Newark City,Licking,Region 11,1350 Granville Rd,"Newark, OH, 43055-3906",(740) 344-7279,,89.630,74.7,C,0.6,16.7,10.5,30.9,21.6,19.8,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.072,86.452,,,000941
000951,Toledo Preparatory and Fitness Academy,000951,Toledo Preparatory and Fitness Academy,Lucas,Region 13,3001 Hill Ave,"Toledo, OH, 43607-2932",(419) 535-3700,Valerie E. Sandy,68.449,57.0,D,0.0,33.0,26.6,23.8,11.6,5.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.523,79.885,,,000951
000952,Columbus Preparatory and Fitness Academy,000952,Columbus Preparatory and Fitness Academy,Franklin,Region 11,1258 Demorest Rd,"Columbus, OH, 43204-7003",(614) 318-0606,Jeffrey R. Luelleman,72.767,60.6,D,0.0,30.2,22.7,25.0,14.7,7.4,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.970,81.267,,,000952
000953,Mt. Healthy Preparatory and Fitness Academy,000953,Mt. Healthy Preparatory and Fitness Academy,Hamilton,Region 13,7601 Harrison Ave,"Cincinnati, OH, 45231-3107",(513) 587-6280,Timothy R. Baggs,63.785,53.2,D,0.0,41.6,22.7,19.9,11.4,4.4,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.910,69.893,,,000953
